time	soil_moist(1)	SWE(1)
units	(mm)	(mm)
27368.33333	375	2.67172
27368.375	375	2.67172
27368.41667	375	2.67172
27368.45833	375	2.67172
27368.5	375	2.67172
27368.54167	375	2.67172
27368.58333	375	2.67172
27368.625	375	2.67172
27368.66667	375	2.67172
27368.70833	375	2.67172
27368.75	375	2.67172
27368.79167	375	2.67172
27368.83333	375	2.67172
27368.875	375	2.67172
27368.91667	375	2.67172
27368.95833	375	2.67172
27369	375	1.56079
27369.04167	375	1.56079
27369.08333	375	1.56079
27369.125	375	1.56079
27369.16667	375	1.56079
27369.20833	375	1.56079
27369.25	375	1.56079
27369.29167	375	1.56079
27369.33333	375	1.56079
27369.375	375	1.56079
27369.41667	375	1.56079
27369.45833	375	1.56079
27369.5	375	1.56079
27369.54167	375	1.56079
27369.58333	375	1.56079
27369.625	375	1.56079
27369.66667	375	1.56079
27369.70833	375	1.56079
27369.75	375	1.56079
27369.79167	375	1.56079
27369.83333	375	1.56079
27369.875	375	1.56079
27369.91667	375	1.56079
27369.95833	375	1.56079
27370	375	1.68509
27370.04167	375	1.68509
27370.08333	375	1.68509
27370.125	375	1.68509
27370.16667	375	1.68509
27370.20833	375	1.68509
27370.25	375	1.68509
27370.29167	375	1.68509
27370.33333	375	1.68509
27370.375	375	1.68509
27370.41667	375	1.68509
27370.45833	375	1.68509
27370.5	375	1.68509
27370.54167	375	1.68509
27370.58333	375	1.68509
27370.625	375	1.68509
27370.66667	375	1.68509
27370.70833	375	1.68509
27370.75	375	1.68509
27370.79167	375	1.68509
27370.83333	375	1.68509
27370.875	375	1.68509
27370.91667	375	1.68509
27370.95833	375	1.68509
27371	375	1.69437
27371.04167	375	1.69437
27371.08333	375	1.69437
27371.125	375	1.69437
27371.16667	375	1.69437
27371.20833	375	1.69437
27371.25	375	1.69437
27371.29167	375	1.69437
27371.33333	375	1.69437
27371.375	375	1.69437
27371.41667	375	1.69437
27371.45833	375	1.69437
27371.5	375	1.69437
27371.54167	375	1.69437
27371.58333	375	1.69437
27371.625	375	1.69437
27371.66667	375	1.69437
